venta_id,ticketid,productoid,producto,ticketid_producto,fecha,fecha_ruta,rutaid,cantidad,preciounit,ingresos_total,pasajeros,objetivoventas
14580,19,5,Refresco,19 - Refresco,2024-01-01,2024-01-01_PMI-MAD,4,1,3.53,3.53,187,17.3
14581,20,5,Refresco,20 - Refresco,2024-01-01,2024-01-01_MAD-AGP,5,3,3.19,9.57,58,7.47
14582,20,1,Agua,20 - Agua,2024-01-01,2024-01-01_MAD-AGP,5,3,2.29,6.87,58,19.0
14583,20,3,Bocadillo,20 - Bocadillo,2024-01-01,2024-01-01_MAD-AGP,5,2,9.94,19.88,58,9.34
14584,21,4,Snack,21 - Snack,2024-01-01,2024-01-01_MAD-AGP,5,1,6.13,6.13,58,12.12
14585,21,2,Cerveza,21 - Cerveza,2024-01-01,2024-01-01_MAD-AGP,5,2,8.15,16.3,58,16.47
14586,21,6,Café,21 - Café,2024-01-01,2024-01-01_MAD-AGP,5,3,3.71,11.13,58,6.29
14587,22,4,Snack,22 - Snack,2024-01-01,2024-01-01_AGP-MAD,6,3,6.08,18.24,141,11.79
14588,22,5,Refresco,22 - Refresco,2024-01-01,2024-01-01_AGP-MAD,6,3,3.88,11.64,141,16.96
14589,23,4,Snack,23 - Snack,2024-01-01,2024-01-01_AGP-MAD,6,3,5.56,16.68,141,13.75
14590,23,1,Agua,23 - Agua,2024-01-01,2024-01-01_AGP-MAD,6,3,2.84,8.52,141,8.44
14591,23,6,Café,23 - Café,2024-01-01,2024-01-01_AGP-MAD,6,2,3.86,7.72,141,7.66
14592,24,6,Café,24 - Café,2024-01-01,2024-01-01_AGP-MAD,6,1,3.59,3.59,141,9.93
14593,25,4,Snack,25 - Snack,2024-01-01,2024-01-01_BCN-PMI,7,1,5.67,5.67,245,15.55
14594,26,4,Snack,26 - Snack,2024-01-01,2024-01-01_BCN-PMI,7,2,6.02,12.04,245,15.44
14595,27,2,Cerveza,27 - Cerveza,2024-01-01,2024-01-01_BCN-PMI,7,3,8.31,24.93,245,15.67
14596,27,3,Bocadillo,27 - Bocadillo,2024-01-01,2024-01-01_BCN-PMI,7,3,10.21,30.63,245,15.13
14597,28,2,Cerveza,28 - Cerveza,2024-01-01,2024-01-01_PMI-BCN,8,3,7.93,23.79,99,13.34
14598,28,1,Agua,28 - Agua,2024-01-01,2024-01-01_PMI-BCN,8,1,2.8,2.8,99,6.72
14599,28,5,Refresco,28 - Refresco,2024-01-01,2024-01-01_PMI-BCN,8,2,3.25,6.5,99,12.1
14600,29,6,Café,29 - Café,2024-01-01,2024-01-01_PMI-BCN,8,1,4.34,4.34,99,19.4
14601,29,3,Bocadillo,29 - Bocadillo,2024-01-01,2024-01-01_PMI-BCN,8,1,9.81,9.81,99,11.02
14602,29,1,Agua,29 - Agua,2024-01-01,2024-01-01_PMI-BCN,8,3,2.88,8.64,99,15.32
14603,30,1,Agua,30 - Agua,2024-01-01,2024-01-01_PMI-BCN,8,2,2.51,5.02,99,12.25
14604,30,6,Café,30 - Café,2024-01-01,2024-01-01_PMI-BCN,8,2,4.45,8.9,99,12.3
14605,31,6,Café,31 - Café,2024-01-01,2024-01-01_PMI-BCN,8,3,3.8,11.4,99,13.66
14606,31,3,Bocadillo,31 - Bocadillo,2024-01-01,2024-01-01_PMI-BCN,8,3,9.59,28.77,99,17.94
14621,37,2,Cerveza,37 - Cerveza,2024-01-02,2024-01-02_MAD-BCN,1,2,7.72,15.44,218,7.97
14615,35,2,Cerveza,35 - Cerveza,2024-01-02,2024-01-02_MAD-BCN,1,2,8.02,16.04,218,15.27
14616,35,1,Agua,35 - Agua,2024-01-02,2024-01-02_MAD-BCN,1,3,2.52,7.56,218,10.46
14617,35,3,Bocadillo,35 - Bocadillo,2024-01-02,2024-01-02_MAD-BCN,1,3,9.65,28.95,218,9.58
14618,36,5,Refresco,36 - Refresco,2024-01-02,2024-01-02_MAD-BCN,1,2,3.83,7.66,218,10.42
14619,36,3,Bocadillo,36 - Bocadillo,2024-01-02,2024-01-02_MAD-BCN,1,3,10.27,30.81,218,18.17
14620,36,4,Snack,36 - Snack,2024-01-02,2024-01-02_MAD-BCN,1,3,5.59,16.77,218,6.35
14622,37,1,Agua,37 - Agua,2024-01-02,2024-01-02_MAD-BCN,1,3,2.63,7.89,218,14.62
14623,38,3,Bocadillo,38 - Bocadillo,2024-01-02,2024-01-02_MAD-BCN,1,2,10.39,20.78,218,16.18
14624,38,1,Agua,38 - Agua,2024-01-02,2024-01-02_MAD-BCN,1,3,2.02,6.06,218,8.9
14625,39,4,Snack,39 - Snack,2024-01-02,2024-01-02_MAD-BCN,1,3,5.55,16.65,218,6.81
14626,39,2,Cerveza,39 - Cerveza,2024-01-02,2024-01-02_MAD-BCN,1,2,8.05,16.1,218,16.0
14627,39,6,Café,39 - Café,2024-01-02,2024-01-02_MAD-BCN,1,3,3.94,11.82,218,9.63
14628,40,4,Snack,40 - Snack,2024-01-02,2024-01-02_MAD-BCN,1,1,6.19,6.19,218,6.23
14629,40,3,Bocadillo,40 - Bocadillo,2024-01-02,2024-01-02_MAD-BCN,1,1,10.33,10.33,218,10.39
14630,40,6,Café,40 - Café,2024-01-02,2024-01-02_MAD-BCN,1,2,3.51,7.02,218,15.19
14631,41,3,Bocadillo,41 - Bocadillo,2024-01-02,2024-01-02_MAD-BCN,1,1,9.54,9.54,218,6.74
14632,41,1,Agua,41 - Agua,2024-01-02,2024-01-02_MAD-BCN,1,3,2.99,8.97,218,16.57
14633,41,2,Cerveza,41 - Cerveza,2024-01-02,2024-01-02_MAD-BCN,1,2,8.16,16.32,218,10.26
14634,42,1,Agua,42 - Agua,2024-01-02,2024-01-02_MAD-BCN,1,1,2.51,2.51,218,9.42
14635,43,3,Bocadillo,43 - Bocadillo,2024-01-02,2024-01-02_BCN-MAD,2,1,9.91,9.91,150,9.75
14636,43,1,Agua,43 - Agua,2024-01-02,2024-01-02_BCN-MAD,2,1,2.52,2.52,150,16.15
14637,44,1,Agua,44 - Agua,2024-01-02,2024-01-02_BCN-MAD,2,1,2.83,2.83,150,19.75
14638,45,4,Snack,45 - Snack,2024-01-02,2024-01-02_BCN-MAD,2,3,6.3,18.9,150,7.73
14639,46,3,Bocadillo,46 - Bocadillo,2024-01-02,2024-01-02_BCN-MAD,2,1,10.38,10.38,150,18.5
14640,46,6,Café,46 - Café,2024-01-02,2024-01-02_BCN-MAD,2,2,4.22,8.44,150,9.26
14641,47,2,Cerveza,47 - Cerveza,2024-01-02,2024-01-02_BCN-MAD,2,3,7.77,23.31,150,18.49
14642,48,5,Refresco,48 - Refresco,2024-01-02,2024-01-02_BCN-MAD,2,1,3.35,3.35,150,8.57
14643,48,6,Café,48 - Café,2024-01-02,2024-01-02_BCN-MAD,2,3,4.17,12.51,150,13.18
14644,48,1,Agua,48 - Agua,2024-01-02,2024-01-02_BCN-MAD,2,3,2.53,7.59,150,11.22
14645,49,4,Snack,49 - Snack,2024-01-02,2024-01-02_MAD-PMI,3,1,5.99,5.99,159,17.02
14646,49,5,Refresco,49 - Refresco,2024-01-02,2024-01-02_MAD-PMI,3,3,3.76,11.28,159,17.05
14647,50,2,Cerveza,50 - Cerveza,2024-01-02,2024-01-02_MAD-PMI,3,3,7.74,23.22,159,16.76
14648,50,3,Bocadillo,50 - Bocadillo,2024-01-02,2024-01-02_MAD-PMI,3,2,9.86,19.72,159,19.06
14649,50,4,Snack,50 - Snack,2024-01-02,2024-01-02_MAD-PMI,3,1,6.27,6.27,159,7.97
14650,51,6,Café,51 - Café,2024-01-02,2024-01-02_MAD-PMI,3,2,3.55,7.1,159,19.33
14651,51,4,Snack,51 - Snack,2024-01-02,2024-01-02_MAD-PMI,3,3,6.37,19.11,159,13.68
14652,51,1,Agua,51 - Agua,2024-01-02,2024-01-02_MAD-PMI,3,1,2.0,2.0,159,6.36
14653,52,3,Bocadillo,52 - Bocadillo,2024-01-02,2024-01-02_MAD-PMI,3,1,10.0,10.0,159,9.05
14654,52,1,Agua,52 - Agua,2024-01-02,2024-01-02_MAD-PMI,3,3,2.47,7.41,159,13.43
14655,53,5,Refresco,53 - Refresco,2024-01-02,2024-01-02_MAD-PMI,3,3,3.74,11.22,159,7.44
14656,53,3,Bocadillo,53 - Bocadillo,2024-01-02,2024-01-02_MAD-PMI,3,3,9.52,28.56,159,6.09
14657,54,1,Agua,54 - Agua,2024-01-02,2024-01-02_MAD-PMI,3,1,2.87,2.87,159,15.64
14658,54,6,Café,54 - Café,2024-01-02,2024-01-02_MAD-PMI,3,1,3.51,3.51,159,14.71
14659,54,5,Refresco,54 - Refresco,2024-01-02,2024-01-02_MAD-PMI,3,2,3.34,6.68,159,6.81
14660,55,5,Refresco,55 - Refresco,2024-01-02,2024-01-02_PMI-MAD,4,1,3.22,3.22,175,17.88
14661,55,4,Snack,55 - Snack,2024-01-02,2024-01-02_PMI-MAD,4,3,6.15,18.45,175,6.74
14662,56,4,Snack,56 - Snack,2024-01-02,2024-01-02_PMI-MAD,4,1,5.79,5.79,175,6.38
14663,57,3,Bocadillo,57 - Bocadillo,2024-01-02,2024-01-02_PMI-MAD,4,3,10.3,30.9,175,17.74
14664,58,3,Bocadillo,58 - Bocadillo,2024-01-02,2024-01-02_PMI-MAD,4,2,10.22,20.44,175,8.66
14665,58,4,Snack,58 - Snack,2024-01-02,2024-01-02_PMI-MAD,4,2,5.89,11.78,175,11.09
14666,58,6,Café,58 - Café,2024-01-02,2024-01-02_PMI-MAD,4,2,3.67,7.34,175,12.8
14667,59,3,Bocadillo,59 - Bocadillo,2024-01-02,2024-01-02_MAD-AGP,5,2,9.53,19.06,137,12.42
14668,59,5,Refresco,59 - Refresco,2024-01-02,2024-01-02_MAD-AGP,5,2,3.11,6.22,137,11.36
14669,60,1,Agua,60 - Agua,2024-01-02,2024-01-02_MAD-AGP,5,3,2.71,8.13,137,10.7
14670,61,6,Café,61 - Café,2024-01-02,2024-01-02_MAD-AGP,5,1,3.91,3.91,137,9.87
14671,61,3,Bocadillo,61 - Bocadillo,2024-01-02,2024-01-02_MAD-AGP,5,1,10.24,10.24,137,20.0
14672,62,2,Cerveza,62 - Cerveza,2024-01-02,2024-01-02_MAD-AGP,5,2,7.54,15.08,137,17.98
14673,63,1,Agua,63 - Agua,2024-01-02,2024-01-02_MAD-AGP,5,2,2.52,5.04,137,10.46
14674,63,3,Bocadillo,63 - Bocadillo,2024-01-02,2024-01-02_MAD-AGP,5,1,10.45,10.45,137,17.75
14675,63,4,Snack,63 - Snack,2024-01-02,2024-01-02_MAD-AGP,5,3,6.24,18.72,137,18.67
14676,64,1,Agua,64 - Agua,2024-01-02,2024-01-02_MAD-AGP,5,1,2.1,2.1,137,10.8
14677,64,6,Café,64 - Café,2024-01-02,2024-01-02_MAD-AGP,5,1,3.98,3.98,137,16.36
14678,64,4,Snack,64 - Snack,2024-01-02,2024-01-02_MAD-AGP,5,3,5.75,17.25,137,18.15
14679,65,5,Refresco,65 - Refresco,2024-01-02,2024-01-02_MAD-AGP,5,1,3.71,3.71,137,17.96
14680,65,4,Snack,65 - Snack,2024-01-02,2024-01-02_MAD-AGP,5,3,6.01,18.03,137,15.6
14681,66,4,Snack,66 - Snack,2024-01-02,2024-01-02_MAD-AGP,5,2,6.29,12.58,137,6.78
14682,67,5,Refresco,67 - Refresco,2024-01-02,2024-01-02_AGP-MAD,6,1,3.36,3.36,149,6.42
14683,68,2,Cerveza,68 - Cerveza,2024-01-02,2024-01-02_AGP-MAD,6,1,7.85,7.85,149,11.48
14684,68,1,Agua,68 - Agua,2024-01-02,2024-01-02_AGP-MAD,6,3,2.43,7.29,149,16.42
14685,68,6,Café,68 - Café,2024-01-02,2024-01-02_AGP-MAD,6,1,3.58,3.58,149,9.95
14686,69,5,Refresco,69 - Refresco,2024-01-02,2024-01-02_AGP-MAD,6,2,3.52,7.04,149,11.56
14687,70,1,Agua,70 - Agua,2024-01-02,2024-01-02_AGP-MAD,6,1,2.31,2.31,149,16.78
14688,70,2,Cerveza,70 - Cerveza,2024-01-02,2024-01-02_AGP-MAD,6,1,8.26,8.26,149,13.46
14689,71,5,Refresco,71 - Refresco,2024-01-02,2024-01-02_AGP-MAD,6,3,3.97,11.91,149,14.44
14690,72,1,Agua,72 - Agua,2024-01-02,2024-01-02_BCN-PMI,7,1,2.19,2.19,109,18.7
14691,73,6,Café,73 - Café,2024-01-02,2024-01-02_BCN-PMI,7,2,4.14,8.28,109,12.56
14692,73,3,Bocadillo,73 - Bocadillo,2024-01-02,2024-01-02_BCN-PMI,7,2,9.76,19.52,109,8.19
14693,73,5,Refresco,73 - Refresco,2024-01-02,2024-01-02_BCN-PMI,7,1,3.53,3.53,109,19.2
14694,74,4,Snack,74 - Snack,2024-01-02,2024-01-02_BCN-PMI,7,2,5.96,11.92,109,16.03
14695,75,6,Café,75 - Café,2024-01-02,2024-01-02_BCN-PMI,7,1,3.64,3.64,109,6.47
14696,75,4,Snack,75 - Snack,2024-01-02,2024-01-02_BCN-PMI,7,2,5.96,11.92,109,11.98
14697,75,5,Refresco,75 - Refresco,2024-01-02,2024-01-02_BCN-PMI,7,2,3.96,7.92,109,17.86
14698,76,6,Café,76 - Café,2024-01-02,2024-01-02_BCN-PMI,7,1,4.45,4.45,109,8.7
14699,76,5,Refresco,76 - Refresco,2024-01-02,2024-01-02_BCN-PMI,7,3,3.59,10.77,109,9.08
14700,76,4,Snack,76 - Snack,2024-01-02,2024-01-02_BCN-PMI,7,3,6.25,18.75,109,8.04
14701,77,3,Bocadillo,77 - Bocadillo,2024-01-02,2024-01-02_BCN-PMI,7,1,9.64,9.64,109,17.63
14702,77,6,Café,77 - Café,2024-01-02,2024-01-02_BCN-PMI,7,3,4.27,12.81,109,9.17
14703,77,1,Agua,77 - Agua,2024-01-02,2024-01-02_BCN-PMI,7,3,2.59,7.77,109,11.7
14704,78,6,Café,78 - Café,2024-01-02,2024-01-02_PMI-BCN,8,1,3.52,3.52,74,17.51
14705,78,5,Refresco,78 - Refresco,2024-01-02,2024-01-02_PMI-BCN,8,2,3.02,6.04,74,7.12
14706,78,2,Cerveza,78 - Cerveza,2024-01-02,2024-01-02_PMI-BCN,8,3,7.7,23.1,74,18.35
14707,79,5,Refresco,79 - Refresco,2024-01-02,2024-01-02_PMI-BCN,8,3,3.74,11.22,74,16.3
14708,79,3,Bocadillo,79 - Bocadillo,2024-01-02,2024-01-02_PMI-BCN,8,2,10.21,20.42,74,7.59
14709,80,2,Cerveza,80 - Cerveza,2024-01-02,2024-01-02_PMI-BCN,8,2,8.12,16.24,74,10.65
14710,80,1,Agua,80 - Agua,2024-01-02,2024-01-02_PMI-BCN,8,3,2.62,7.86,74,16.02
14711,81,3,Bocadillo,81 - Bocadillo,2024-01-02,2024-01-02_PMI-BCN,8,3,10.38,31.14,74,14.98
14712,81,6,Café,81 - Café,2024-01-02,2024-01-02_PMI-BCN,8,2,3.6,7.2,74,7.05
14713,81,5,Refresco,81 - Refresco,2024-01-02,2024-01-02_PMI-BCN,8,1,3.58,3.58,74,17.83
14714,82,3,Bocadillo,82 - Bocadillo,2024-01-02,2024-01-02_PMI-BCN,8,3,9.66,28.98,74,14.52
14715,82,4,Snack,82 - Snack,2024-01-02,2024-01-02_PMI-BCN,8,3,5.77,17.31,74,19.31
14716,82,1,Agua,82 - Agua,2024-01-02,2024-01-02_PMI-BCN,8,1,2.68,2.68,74,7.71
14717,83,6,Café,83 - Café,2024-01-02,2024-01-02_PMI-BCN,8,1,4.37,4.37,74,15.44
14718,83,5,Refresco,83 - Refresco,2024-01-02,2024-01-02_PMI-BCN,8,1,3.54,3.54,74,19.69
14719,83,2,Cerveza,83 - Cerveza,2024-01-02,2024-01-02_PMI-BCN,8,3,8.07,24.21,74,10.51
14720,84,2,Cerveza,84 - Cerveza,2024-01-02,2024-01-02_PMI-BCN,8,1,8.44,8.44,74,17.88
14721,84,4,Snack,84 - Snack,2024-01-02,2024-01-02_PMI-BCN,8,2,5.71,11.42,74,17.47
14722,84,1,Agua,84 - Agua,2024-01-02,2024-01-02_PMI-BCN,8,2,2.38,4.76,74,13.67
14753,101,4,Snack,101 - Snack,2024-01-03,2024-01-03_PMI-MAD,4,2,5.81,11.62,183,6.42
14723,85,1,Agua,85 - Agua,2024-01-03,2024-01-03_MAD-BCN,1,3,2.03,6.09,179,10.8
14724,85,4,Snack,85 - Snack,2024-01-03,2024-01-03_MAD-BCN,1,2,6.26,12.52,179,11.0
14725,86,5,Refresco,86 - Refresco,2024-01-03,2024-01-03_MAD-BCN,1,1,3.93,3.93,179,8.25
14726,86,6,Café,86 - Café,2024-01-03,2024-01-03_MAD-BCN,1,1,3.68,3.68,179,10.37
14727,86,1,Agua,86 - Agua,2024-01-03,2024-01-03_MAD-BCN,1,2,2.6,5.2,179,18.2
14728,87,1,Agua,87 - Agua,2024-01-03,2024-01-03_MAD-BCN,1,3,2.95,8.85,179,15.96
14729,88,6,Café,88 - Café,2024-01-03,2024-01-03_BCN-MAD,2,1,3.6,3.6,226,17.58
14730,88,2,Cerveza,88 - Cerveza,2024-01-03,2024-01-03_BCN-MAD,2,1,7.81,7.81,226,14.88
14731,89,5,Refresco,89 - Refresco,2024-01-03,2024-01-03_BCN-MAD,2,3,3.63,10.89,226,15.4
14732,89,3,Bocadillo,89 - Bocadillo,2024-01-03,2024-01-03_BCN-MAD,2,2,9.57,19.14,226,19.98
14733,90,6,Café,90 - Café,2024-01-03,2024-01-03_BCN-MAD,2,3,4.44,13.32,226,7.86
14734,91,6,Café,91 - Café,2024-01-03,2024-01-03_BCN-MAD,2,1,3.68,3.68,226,11.1
14735,91,1,Agua,91 - Agua,2024-01-03,2024-01-03_BCN-MAD,2,3,2.46,7.38,226,13.62
14736,92,3,Bocadillo,92 - Bocadillo,2024-01-03,2024-01-03_BCN-MAD,2,1,10.5,10.5,226,17.25
14737,93,1,Agua,93 - Agua,2024-01-03,2024-01-03_BCN-MAD,2,1,2.41,2.41,226,9.56
14738,93,4,Snack,93 - Snack,2024-01-03,2024-01-03_BCN-MAD,2,2,5.74,11.48,226,12.47
14739,94,2,Cerveza,94 - Cerveza,2024-01-03,2024-01-03_BCN-MAD,2,2,7.63,15.26,226,7.01
14740,94,4,Snack,94 - Snack,2024-01-03,2024-01-03_BCN-MAD,2,3,6.41,19.23,226,19.02
14741,94,5,Refresco,94 - Refresco,2024-01-03,2024-01-03_BCN-MAD,2,2,3.44,6.88,226,18.38
14742,95,5,Refresco,95 - Refresco,2024-01-03,2024-01-03_MAD-PMI,3,2,3.11,6.22,162,15.27
14743,95,1,Agua,95 - Agua,2024-01-03,2024-01-03_MAD-PMI,3,3,2.41,7.23,162,16.04
14744,96,3,Bocadillo,96 - Bocadillo,2024-01-03,2024-01-03_MAD-PMI,3,2,10.43,20.86,162,16.1
14745,97,5,Refresco,97 - Refresco,2024-01-03,2024-01-03_MAD-PMI,3,1,3.12,3.12,162,13.67
14746,97,4,Snack,97 - Snack,2024-01-03,2024-01-03_MAD-PMI,3,1,5.91,5.91,162,9.24
14747,97,6,Café,97 - Café,2024-01-03,2024-01-03_MAD-PMI,3,1,4.27,4.27,162,17.11
14748,98,3,Bocadillo,98 - Bocadillo,2024-01-03,2024-01-03_MAD-PMI,3,1,10.35,10.35,162,16.84
14749,98,6,Café,98 - Café,2024-01-03,2024-01-03_MAD-PMI,3,1,4.0,4.0,162,9.55
14750,99,2,Cerveza,99 - Cerveza,2024-01-03,2024-01-03_MAD-PMI,3,1,7.57,7.57,162,17.75
14751,100,1,Agua,100 - Agua,2024-01-03,2024-01-03_PMI-MAD,4,2,2.7,5.4,183,17.27
14752,100,5,Refresco,100 - Refresco,2024-01-03,2024-01-03_PMI-MAD,4,2,3.08,6.16,183,7.4
14754,101,1,Agua,101 - Agua,2024-01-03,2024-01-03_PMI-MAD,4,2,2.28,4.56,183,14.97
14755,102,1,Agua,102 - Agua,2024-01-03,2024-01-03_MAD-AGP,5,2,2.49,4.98,73,10.67
14756,102,6,Café,102 - Café,2024-01-03,2024-01-03_MAD-AGP,5,2,4.3,8.6,73,18.35
14757,103,6,Café,103 - Café,2024-01-03,2024-01-03_MAD-AGP,5,1,4.26,4.26,73,9.1
14758,104,3,Bocadillo,104 - Bocadillo,2024-01-03,2024-01-03_MAD-AGP,5,1,10.44,10.44,73,12.56
14759,104,1,Agua,104 - Agua,2024-01-03,2024-01-03_MAD-AGP,5,3,2.4,7.2,73,15.79
14760,104,5,Refresco,104 - Refresco,2024-01-03,2024-01-03_MAD-AGP,5,3,3.4,10.2,73,7.31
14761,105,4,Snack,105 - Snack,2024-01-03,2024-01-03_MAD-AGP,5,1,6.27,6.27,73,19.16
14762,106,1,Agua,106 - Agua,2024-01-03,2024-01-03_AGP-MAD,6,2,2.22,4.44,143,17.62
14763,106,3,Bocadillo,106 - Bocadillo,2024-01-03,2024-01-03_AGP-MAD,6,2,10.32,20.64,143,8.97
14764,107,2,Cerveza,107 - Cerveza,2024-01-03,2024-01-03_AGP-MAD,6,3,7.68,23.04,143,17.74
14765,107,6,Café,107 - Café,2024-01-03,2024-01-03_AGP-MAD,6,1,4.45,4.45,143,15.39
14766,107,5,Refresco,107 - Refresco,2024-01-03,2024-01-03_AGP-MAD,6,2,3.51,7.02,143,10.7
14767,108,2,Cerveza,108 - Cerveza,2024-01-03,2024-01-03_AGP-MAD,6,3,7.68,23.04,143,12.63
14768,108,1,Agua,108 - Agua,2024-01-03,2024-01-03_AGP-MAD,6,3,2.63,7.89,143,13.98
14769,109,3,Bocadillo,109 - Bocadillo,2024-01-03,2024-01-03_AGP-MAD,6,2,9.58,19.16,143,7.21
14770,109,1,Agua,109 - Agua,2024-01-03,2024-01-03_AGP-MAD,6,2,2.13,4.26,143,14.95
14771,109,6,Café,109 - Café,2024-01-03,2024-01-03_AGP-MAD,6,1,4.08,4.08,143,8.26
14772,110,2,Cerveza,110 - Cerveza,2024-01-03,2024-01-03_AGP-MAD,6,3,7.91,23.73,143,8.16
14773,110,5,Refresco,110 - Refresco,2024-01-03,2024-01-03_AGP-MAD,6,1,3.43,3.43,143,8.77
14774,110,1,Agua,110 - Agua,2024-01-03,2024-01-03_AGP-MAD,6,3,2.55,7.65,143,17.53
14775,111,2,Cerveza,111 - Cerveza,2024-01-03,2024-01-03_AGP-MAD,6,3,8.29,24.87,143,18.14
14776,111,3,Bocadillo,111 - Bocadillo,2024-01-03,2024-01-03_AGP-MAD,6,1,9.57,9.57,143,13.66
14777,112,6,Café,112 - Café,2024-01-03,2024-01-03_AGP-MAD,6,3,4.47,13.41,143,18.63
14778,112,3,Bocadillo,112 - Bocadillo,2024-01-03,2024-01-03_AGP-MAD,6,3,10.06,30.18,143,10.6
14779,112,4,Snack,112 - Snack,2024-01-03,2024-01-03_AGP-MAD,6,1,5.92,5.92,143,18.49
