TicketID,Fecha,Ruta,Fecha-Ruta,Producto,Cantidad,PrecioUnit,Pasajeros,ObjetivoVentas,DiaSemana
51,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Café,2,3.55,159,1933,Tuesday
51,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Snack,3,6.37,159,1368,Tuesday
51,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Agua,1,2.0,159,636,Tuesday
52,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Bocadillo,1,10.0,159,905,Tuesday
52,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Agua,3,2.47,159,1343,Tuesday
53,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Refresco,3,3.74,159,744,Tuesday
53,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Bocadillo,3,9.52,159,609,Tuesday
54,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Agua,1,2.87,159,1564,Tuesday
54,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Café,1,3.51,159,1471,Tuesday
54,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Refresco,2,3.34,159,681,Tuesday
55,2024-01-02,PMI-MAD,2024-01-02_PMI-MAD,Refresco,1,3.22,175,1788,Tuesday
55,2024-01-02,PMI-MAD,2024-01-02_PMI-MAD,Snack,3,6.15,175,674,Tuesday
56,2024-01-02,PMI-MAD,2024-01-02_PMI-MAD,Snack,1,5.79,175,638,Tuesday
57,2024-01-02,PMI-MAD,2024-01-02_PMI-MAD,Bocadillo,3,10.3,175,1774,Tuesday
58,2024-01-02,PMI-MAD,2024-01-02_PMI-MAD,Bocadillo,2,10.22,175,866,Tuesday
58,2024-01-02,PMI-MAD,2024-01-02_PMI-MAD,Snack,2,5.89,175,1109,Tuesday
58,2024-01-02,PMI-MAD,2024-01-02_PMI-MAD,Café,2,3.67,175,1280,Tuesday
59,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Bocadillo,2,9.53,137,1242,Tuesday
59,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Refresco,2,3.11,137,1136,Tuesday
60,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Agua,3,2.71,137,1070,Tuesday
61,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Café,1,3.91,137,987,Tuesday
61,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Bocadillo,1,10.24,137,2000,Tuesday
62,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Cerveza,2,7.54,137,1798,Tuesday
63,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Agua,2,2.52,137,1046,Tuesday
63,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Bocadillo,1,10.45,137,1775,Tuesday
63,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Snack,3,6.24,137,1867,Tuesday
64,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Agua,1,2.1,137,1080,Tuesday
64,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Café,1,3.98,137,1636,Tuesday
64,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Snack,3,5.75,137,1815,Tuesday
65,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Refresco,1,3.71,137,1796,Tuesday
65,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Snack,3,6.01,137,1560,Tuesday
66,2024-01-02,MAD-AGP,2024-01-02_MAD-AGP,Snack,2,6.29,137,678,Tuesday
67,2024-01-02,AGP-MAD,2024-01-02_AGP-MAD,Refresco,1,3.36,149,642,Tuesday
68,2024-01-02,AGP-MAD,2024-01-02_AGP-MAD,Cerveza,1,7.85,149,1148,Tuesday
68,2024-01-02,AGP-MAD,2024-01-02_AGP-MAD,Agua,3,2.43,149,1642,Tuesday
68,2024-01-02,AGP-MAD,2024-01-02_AGP-MAD,Café,1,3.58,149,995,Tuesday
69,2024-01-02,AGP-MAD,2024-01-02_AGP-MAD,Refresco,2,3.52,149,1156,Tuesday
70,2024-01-02,AGP-MAD,2024-01-02_AGP-MAD,Agua,1,2.31,149,1678,Tuesday
70,2024-01-02,AGP-MAD,2024-01-02_AGP-MAD,Cerveza,1,8.26,149,1346,Tuesday
71,2024-01-02,AGP-MAD,2024-01-02_AGP-MAD,Refresco,3,3.97,149,1444,Tuesday
72,2024-01-02,BCN-PMI,2024-01-02_BCN-PMI,Agua,1,2.19,109,1870,Tuesday
73,2024-01-02,BCN-PMI,2024-01-02_BCN-PMI,Café,2,4.14,109,1256,Tuesday
73,2024-01-02,BCN-PMI,2024-01-02_BCN-PMI,Bocadillo,2,9.76,109,819,Tuesday
73,2024-01-02,BCN-PMI,2024-01-02_BCN-PMI,Refresco,1,3.53,109,1920,Tuesday
74,2024-01-02,BCN-PMI,2024-01-02_BCN-PMI,Snack,2,5.96,109,1603,Tuesday
75,2024-01-02,BCN-PMI,2024-01-02_BCN-PMI,Café,1,3.64,109,647,Tuesday
75,2024-01-02,BCN-PMI,2024-01-02_BCN-PMI,Snack,2,5.96,109,1198,Tuesday
75,2024-01-02,BCN-PMI,2024-01-02_BCN-PMI,Refresco,2,3.96,109,1786,Tuesday
76,2024-01-02,BCN-PMI,2024-01-02_BCN-PMI,Café,1,4.45,109,870,Tuesday
76,2024-01-02,BCN-PMI,2024-01-02_BCN-PMI,Refresco,3,3.59,109,908,Tuesday
76,2024-01-02,BCN-PMI,2024-01-02_BCN-PMI,Snack,3,6.25,109,804,Tuesday
77,2024-01-02,BCN-PMI,2024-01-02_BCN-PMI,Bocadillo,1,9.64,109,1763,Tuesday
77,2024-01-02,BCN-PMI,2024-01-02_BCN-PMI,Café,3,4.27,109,917,Tuesday
77,2024-01-02,BCN-PMI,2024-01-02_BCN-PMI,Agua,3,2.59,109,1170,Tuesday
78,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Café,1,3.52,74,1751,Tuesday
78,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Refresco,2,3.02,74,712,Tuesday
78,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Cerveza,3,7.7,74,1835,Tuesday
79,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Refresco,3,3.74,74,1630,Tuesday
79,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Bocadillo,2,10.21,74,759,Tuesday
80,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Cerveza,2,8.12,74,1065,Tuesday
80,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Agua,3,2.62,74,1602,Tuesday
81,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Bocadillo,3,10.38,74,1498,Tuesday
81,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Café,2,3.6,74,705,Tuesday
81,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Refresco,1,3.58,74,1783,Tuesday
82,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Bocadillo,3,9.66,74,1452,Tuesday
82,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Snack,3,5.77,74,1931,Tuesday
82,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Agua,1,2.68,74,771,Tuesday
83,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Café,1,4.37,74,1544,Tuesday
83,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Refresco,1,3.54,74,1969,Tuesday
83,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Cerveza,3,8.07,74,1051,Tuesday
84,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Cerveza,1,8.44,74,1788,Tuesday
84,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Snack,2,5.71,74,1747,Tuesday
84,2024-01-02,PMI-BCN,2024-01-02_PMI-BCN,Agua,2,2.38,74,1367,Tuesday
85,2024-01-03,MAD-BCN,2024-01-03_MAD-BCN,Agua,3,2.03,179,1080,Wednesday
85,2024-01-03,MAD-BCN,2024-01-03_MAD-BCN,Snack,2,6.26,179,1100,Wednesday
86,2024-01-03,MAD-BCN,2024-01-03_MAD-BCN,Refresco,1,3.93,179,825,Wednesday
86,2024-01-03,MAD-BCN,2024-01-03_MAD-BCN,Café,1,3.68,179,1037,Wednesday
86,2024-01-03,MAD-BCN,2024-01-03_MAD-BCN,Agua,2,2.6,179,1820,Wednesday
87,2024-01-03,MAD-BCN,2024-01-03_MAD-BCN,Agua,3,2.95,179,1596,Wednesday
88,2024-01-03,BCN-MAD,2024-01-03_BCN-MAD,Café,1,3.6,226,1758,Wednesday
88,2024-01-03,BCN-MAD,2024-01-03_BCN-MAD,Cerveza,1,7.81,226,1488,Wednesday
89,2024-01-03,BCN-MAD,2024-01-03_BCN-MAD,Refresco,3,3.63,226,1540,Wednesday
89,2024-01-03,BCN-MAD,2024-01-03_BCN-MAD,Bocadillo,2,9.57,226,1998,Wednesday
90,2024-01-03,BCN-MAD,2024-01-03_BCN-MAD,Café,3,4.44,226,786,Wednesday
91,2024-01-03,BCN-MAD,2024-01-03_BCN-MAD,Café,1,3.68,226,1110,Wednesday
91,2024-01-03,BCN-MAD,2024-01-03_BCN-MAD,Agua,3,2.46,226,1362,Wednesday
92,2024-01-03,BCN-MAD,2024-01-03_BCN-MAD,Bocadillo,1,10.5,226,1725,Wednesday
93,2024-01-03,BCN-MAD,2024-01-03_BCN-MAD,Agua,1,2.41,226,956,Wednesday
93,2024-01-03,BCN-MAD,2024-01-03_BCN-MAD,Snack,2,5.74,226,1247,Wednesday
94,2024-01-03,BCN-MAD,2024-01-03_BCN-MAD,Cerveza,2,7.63,226,701,Wednesday
94,2024-01-03,BCN-MAD,2024-01-03_BCN-MAD,Snack,3,6.41,226,1902,Wednesday
94,2024-01-03,BCN-MAD,2024-01-03_BCN-MAD,Refresco,2,3.44,226,1838,Wednesday
95,2024-01-03,MAD-PMI,2024-01-03_MAD-PMI,Refresco,2,3.11,162,1527,Wednesday
95,2024-01-03,MAD-PMI,2024-01-03_MAD-PMI,Agua,3,2.41,162,1604,Wednesday
96,2024-01-03,MAD-PMI,2024-01-03_MAD-PMI,Bocadillo,2,10.43,162,1610,Wednesday
97,2024-01-03,MAD-PMI,2024-01-03_MAD-PMI,Refresco,1,3.12,162,1367,Wednesday
97,2024-01-03,MAD-PMI,2024-01-03_MAD-PMI,Snack,1,5.91,162,924,Wednesday
97,2024-01-03,MAD-PMI,2024-01-03_MAD-PMI,Café,1,4.27,162,1711,Wednesday
98,2024-01-03,MAD-PMI,2024-01-03_MAD-PMI,Bocadillo,1,10.35,162,1684,Wednesday
98,2024-01-03,MAD-PMI,2024-01-03_MAD-PMI,Café,1,4.0,162,955,Wednesday
99,2024-01-03,MAD-PMI,2024-01-03_MAD-PMI,Cerveza,1,7.57,162,1775,Wednesday
100,2024-01-03,PMI-MAD,2024-01-03_PMI-MAD,Agua,2,2.7,183,1727,Wednesday
100,2024-01-03,PMI-MAD,2024-01-03_PMI-MAD,Refresco,2,3.08,183,740,Wednesday
101,2024-01-03,PMI-MAD,2024-01-03_PMI-MAD,Snack,2,5.81,183,642,Wednesday
101,2024-01-03,PMI-MAD,2024-01-03_PMI-MAD,Agua,2,2.28,183,1497,Wednesday
102,2024-01-03,MAD-AGP,2024-01-03_MAD-AGP,Agua,2,2.49,73,1067,Wednesday
102,2024-01-03,MAD-AGP,2024-01-03_MAD-AGP,Café,2,4.3,73,1835,Wednesday
103,2024-01-03,MAD-AGP,2024-01-03_MAD-AGP,Café,1,4.26,73,910,Wednesday
104,2024-01-03,MAD-AGP,2024-01-03_MAD-AGP,Bocadillo,1,10.44,73,1256,Wednesday
104,2024-01-03,MAD-AGP,2024-01-03_MAD-AGP,Agua,3,2.4,73,1579,Wednesday
104,2024-01-03,MAD-AGP,2024-01-03_MAD-AGP,Refresco,3,3.4,73,731,Wednesday
105,2024-01-03,MAD-AGP,2024-01-03_MAD-AGP,Snack,1,6.27,73,1916,Wednesday
106,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Agua,2,2.22,143,1762,Wednesday
106,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Bocadillo,2,10.32,143,897,Wednesday
107,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Cerveza,3,7.68,143,1774,Wednesday
107,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Café,1,4.45,143,1539,Wednesday
107,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Refresco,2,3.51,143,1070,Wednesday
108,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Cerveza,3,7.68,143,1263,Wednesday
108,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Agua,3,2.63,143,1398,Wednesday
109,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Bocadillo,2,9.58,143,721,Wednesday
109,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Agua,2,2.13,143,1495,Wednesday
109,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Café,1,4.08,143,826,Wednesday
110,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Cerveza,3,7.91,143,816,Wednesday
110,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Refresco,1,3.43,143,877,Wednesday
110,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Agua,3,2.55,143,1753,Wednesday
111,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Cerveza,3,8.29,143,1814,Wednesday
111,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Bocadillo,1,9.57,143,1366,Wednesday
112,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Café,3,4.47,143,1863,Wednesday
112,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Bocadillo,3,10.06,143,1060,Wednesday
112,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Snack,1,5.92,143,1849,Wednesday
113,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Snack,2,5.79,143,940,Wednesday
113,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Refresco,3,3.36,143,981,Wednesday
113,2024-01-03,AGP-MAD,2024-01-03_AGP-MAD,Agua,2,2.63,143,1170,Wednesday
114,2024-01-03,BCN-PMI,2024-01-03_BCN-PMI,Café,1,3.78,156,1400,Wednesday
114,2024-01-03,BCN-PMI,2024-01-03_BCN-PMI,Bocadillo,2,10.22,156,1280,Wednesday
114,2024-01-03,BCN-PMI,2024-01-03_BCN-PMI,Cerveza,3,7.79,156,1568,Wednesday
115,2024-01-03,BCN-PMI,2024-01-03_BCN-PMI,Bocadillo,3,9.52,156,1855,Wednesday
115,2024-01-03,BCN-PMI,2024-01-03_BCN-PMI,Agua,1,2.11,156,1036,Wednesday
116,2024-01-03,PMI-BCN,2024-01-03_PMI-BCN,Cerveza,2,8.07,155,1792,Wednesday
116,2024-01-03,PMI-BCN,2024-01-03_PMI-BCN,Refresco,3,3.3,155,1934,Wednesday
117,2024-01-03,PMI-BCN,2024-01-03_PMI-BCN,Café,2,3.79,155,1193,Wednesday
117,2024-01-03,PMI-BCN,2024-01-03_PMI-BCN,Bocadillo,1,9.91,155,1203,Wednesday
117,2024-01-03,PMI-BCN,2024-01-03_PMI-BCN,Cerveza,2,8.13,155,1998,Wednesday
118,2024-01-03,PMI-BCN,2024-01-03_PMI-BCN,Snack,2,5.65,155,710,Wednesday
118,2024-01-03,PMI-BCN,2024-01-03_PMI-BCN,Cerveza,3,7.59,155,1907,Wednesday
119,2024-01-03,PMI-BCN,2024-01-03_PMI-BCN,Agua,2,2.61,155,1695,Wednesday
119,2024-01-03,PMI-BCN,2024-01-03_PMI-BCN,Cerveza,1,8.29,155,1422,Wednesday
120,2024-01-03,PMI-BCN,2024-01-03_PMI-BCN,Café,3,3.59,155,1220,Wednesday
120,2024-01-03,PMI-BCN,2024-01-03_PMI-BCN,Refresco,1,3.41,155,973,Wednesday
120,2024-01-03,PMI-BCN,2024-01-03_PMI-BCN,Snack,3,5.81,155,1764,Wednesday
121,2024-01-03,PMI-BCN,2024-01-03_PMI-BCN,Snack,3,5.83,155,1510,Wednesday
122,2024-01-04,MAD-BCN,2024-01-04_MAD-BCN,Refresco,3,3.63,158,1832,Thursday
123,2024-01-04,MAD-BCN,2024-01-04_MAD-BCN,Cerveza,1,7.85,158,883,Thursday
124,2024-01-04,MAD-BCN,2024-01-04_MAD-BCN,Snack,2,6.48,158,1054,Thursday
124,2024-01-04,MAD-BCN,2024-01-04_MAD-BCN,Cerveza,2,7.73,158,1391,Thursday
124,2024-01-04,MAD-BCN,2024-01-04_MAD-BCN,Refresco,3,3.61,158,1537,Thursday
125,2024-01-04,MAD-BCN,2024-01-04_MAD-BCN,Cerveza,2,7.57,158,1791,Thursday
125,2024-01-04,MAD-BCN,2024-01-04_MAD-BCN,Agua,3,2.72,158,1668,Thursday
